rgi_id,Mean_velsurf_mag,Std_velsurf_mag,Min_velsurf_mag,Q1_velsurf_mag,Median_velsurf_mag,Q3_velsurf_mag,Max_velsurf_mag,Mean_velsurfobs_mag,Std_velsurfobs_mag,Min_velsurfobs_mag,Q1_velsurfobs_mag,Median_velsurfobs_mag,Q3_velsurfobs_mag,Max_velsurfobs_mag,MAE_velsurf_mag,n_obs_thk,coverage_pct,Mean_thk_model_at_obs,Std_thk_model_at_obs,Mean_thk_obs,Std_thk_obs,MAE_thk,Bias_thk,RMSE_thk,MedianAE_thk,Q95AE_thk,Min_thk_obs,Q1_thk_obs,Median_thk_obs,Q3_thk_obs,Max_thk_obs
RGI2000-v7.0-G-11-00646,12.076337814331055,12.97348403930664,0.0,1.7832803428173065,8.272878170013428,18.249586582183838,62.54067611694336,10.53226089477539,10.880913734436035,0.0,3.309813141822815,6.424553632736206,12.727972984313965,60.758018493652344,7.971854209899902,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
RGI2000-v7.0-G-11-00526,5.589975357055664,4.077436447143555,0.0,2.0942659974098206,4.612301826477051,8.860806703567505,21.49102783203125,8.660472869873047,7.470171928405762,0.0,3.826688528060913,6.3136656284332275,10.95556378364563,38.60564041137695,4.87239933013916,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
RGI2000-v7.0-G-11-03671,1.3109734058380127,0.8655559420585632,0.0,0.5206944644451141,1.4263074398040771,1.9990900158882141,3.3309438228607178,3.3752548694610596,3.112590789794922,0.0,1.4896772801876068,2.734987497329712,3.993175983428955,18.46407699584961,2.119032859802246,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
RGI2000-v7.0-G-11-03328,3.3848228454589844,3.172236442565918,0.0,0.7214224636554718,2.3143017292022705,5.532551050186157,12.97581672668457,2.8536174297332764,1.9428147077560425,0.0,1.66742342710495,2.6273789405822754,3.722884774208069,35.83563995361328,2.9116475582122803,42,0.9889333647280433,17.02910804748535,12.436798095703125,37.64285659790039,15.37905502319336,22.76287269592285,-20.61374855041504,25.46495610162744,20.0,43.12938251495359,11.0,22.75,40.0,47.75,74.0
RGI2000-v7.0-G-11-00278,17.27928352355957,18.175020217895508,0.0,4.834847331047058,12.858439445495605,21.934732913970947,119.60733032226562,16.693164825439453,17.617246627807617,0.0,3.323263645172119,10.321871757507324,23.862821578979492,80.6328125,10.445401191711426,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
RGI2000-v7.0-G-11-00273,0.8836989998817444,0.7541684508323669,0.0,0.33105766773223877,0.8141152858734131,1.2965236902236938,11.695242881774902,5.675892353057861,5.9101996421813965,0.0,2.388400614261627,3.8535428047180176,6.907324314117432,39.38274002075195,4.779601097106934,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
RGI2000-v7.0-G-11-01063,4.200512409210205,3.187814235687256,0.0,1.1565070152282715,4.060954570770264,6.816641807556152,11.427722930908203,4.872476577758789,5.272032737731934,0.0,2.5162405371665955,3.553918242454529,5.202266097068787,36.87797927856445,3.7772045135498047,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
RGI2000-v7.0-G-11-03436,1.0163853168487549,0.8729724287986755,0.0,0.3918781876564026,0.881791889667511,1.3894844055175781,4.79031229019165,3.064188003540039,1.9975390434265137,0.0,1.7089512348175049,2.668001413345337,3.993986129760742,12.53598403930664,2.2395546436309814,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
RGI2000-v7.0-G-11-02438,8.532073974609375,5.754303932189941,0.0,3.7623396515846252,8.411646842956543,13.051623344421387,28.87213706970215,7.0931267738342285,6.193282604217529,0.0,3.1454373598098755,5.504079341888428,9.24509072303772,95.45299530029297,6.43080997467041,317,3.6436781609195403,82.04209899902344,42.292598724365234,105.7239761352539,47.332523345947266,33.43115234375,-23.68185806274414,39.218935196275886,31.20551300048828,71.00794677734375,22.0,68.0,101.0,137.0,245.0
RGI2000-v7.0-G-11-00693,64.46428680419922,57.379676818847656,0.0,13.564785957336426,50.42039680480957,107.23654556274414,212.13539123535156,86.52268981933594,57.0989990234375,0.0,36.96067714691162,88.8243522644043,132.69322967529297,232.5021514892578,41.97084045410156,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
RGI2000-v7.0-G-11-03450,3.395052671432495,3.3924155235290527,0.0,0.5459849089384079,2.10397207736969,5.615827441215515,17.101093292236328,4.277085781097412,3.5413739681243896,0.0,1.9273592829704285,3.1654891967773438,5.485440611839294,29.324600219726562,3.290053606033325,154,1.5095079396196824,53.94609832763672,30.311628341674805,80.48701477050781,42.28324508666992,32.30747604370117,-26.54092025756836,43.206008323767165,25.18001937866211,102.39032287597655,12.0,51.0,76.5,99.25,213.0
RGI2000-v7.0-G-11-01843,1.3854155540466309,0.803912341594696,0.0,0.8927151560783386,1.3144581317901611,1.8565958738327026,6.502455711364746,5.156674385070801,4.3732476234436035,0.0,1.9156274795532227,3.8241989612579346,7.2623450756073,21.823665618896484,3.9794459342956543,167,9.864146485528648,54.147483825683594,21.47771644592285,62.89396286010742,31.62543296813965,25.332130432128906,-8.746487617492676,34.59833521724257,15.213226318359375,72.39212722778319,7.4285712242126465,38.54807662963867,61.83333206176758,83.06666946411133,125.80000305175781
